id;Doc. Date;Order qty;PCS delivered;HL delivered;MACO/HL ;Postal Code;Sous groupement;Subrand;Unidade do container;Container Size;Latitude;Longitude;TTC;Litragem do container;Preco/L
118;12/01/2021;70;70;4.2;217.4492633;62500;SODIBOISSONS;LEFFE RITUEL 9;1;6;50.7518;2.2405;22.774752;6;3.795792
954;17/02/2021;20;20;1.2;127.984305;16160;LA ROCHELLE BOISSONS;BUD;1;6;45.6833;0.1667;16.272216;6;2.712036
125;13/01/2021;70;70;4.2;186.7078982;42150;ROUCHON SOUCHON;GOOSE;1;6;45.4168;4.312;22.6058976;6;3.7676496
127;13/01/2021;140;140;8.4;195.3340351;42150;ROUCHON SOUCHON;TRIPLE KARMELIET;1;6;45.4168;4.312;21.952008;6;3.658668
128;13/01/2021;70;70;4.2;128.264406;42150;ROUCHON SOUCHON;KWAK;1;6;45.4168;4.312;18.0574128;6;3.0095688
129;13/01/2021;20;20;1.2;208.8988426;42150;ROUCHON SOUCHON;LEFFE AMBREE;1;6;45.4168;4.312;22.8554568;6;3.8092428
130;13/01/2021;10;10;0.6;147.3794093;42150;ROUCHON SOUCHON;LEFFE BRUNE;1;6;45.4168;4.312;19.051956;6;3.175326
131;13/01/2021;40;40;2.4;217.4492633;42150;ROUCHON SOUCHON;LEFFE RITUEL 9;1;6;45.4168;4.312;22.9749696;6;3.8291616
132;13/01/2021;20;20;1.2;224.5997572;42150;ROUCHON SOUCHON;LEFFE ROYALE;1;6;45.4168;4.312;22.9749696;6;3.8291616
133;13/01/2021;30;30;1.8;211.631664;42150;ROUCHON SOUCHON;LEFFE ROYALE;1;6;45.4168;4.312;22.9749696;6;3.8291616
135;13/01/2021;40;40;3.168;186.9042007;42150;ROUCHON SOUCHON;TRIPLE KARMELIET;24;0.33;45.4168;4.312;28.3974912;7.92;3.585541818
136;13/01/2021;30;30;2.376;118.1400003;42150;ROUCHON SOUCHON;KWAK;24;0.33;45.4168;4.312;24.6897216;7.92;3.117389091
138;13/01/2021;140;140;8.4;195.3340351;86370;SA VINS FROMAGET;TRIPLE KARMELIET;1;6;46.4627;0.2287;21.996;6;3.666
139;13/01/2021;210;210;12.6;128.264406;86370;SA VINS FROMAGET;KWAK;1;6;46.4627;0.2287;18.0936;6;3.0156
140;13/01/2021;560;560;33.6;150.689825;86370;SA VINS FROMAGET;LEFFE BLONDE;1;6;46.4627;0.2287;17.5390992;6;2.9231832
883;16/02/2021;140;140;8.4;127.984305;70110;DAMIDEAUX MICHEL BOISSONS;BUD;1;6;47.5382;6.4026;15.7747752;6;2.6291292
142;13/01/2021;20;20;1.2;217.4492633;86370;SA VINS FROMAGET;LEFFE RITUEL 9;1;6;46.4627;0.2287;22.774752;6;3.795792
143;13/01/2021;70;70;4.2;195.5874479;86370;SA VINS FROMAGET;LEFFE RUBY;1;6;46.4627;0.2287;22.774752;6;3.795792
146;13/01/2021;10;10;0.792;186.9042007;86370;SA VINS FROMAGET;TRIPLE KARMELIET;24;0.33;46.4627;0.2287;28.4544;7.92;3.592727273
147;13/01/2021;20;20;1.584;118.1400003;86370;SA VINS FROMAGET;KWAK;24;0.33;46.4627;0.2287;24.7392;7.92;3.123636364
150;13/01/2021;10;10;0.792;171.6145753;86370;SA VINS FROMAGET;LEFFE BLONDE;24;0.33;46.4627;0.2287;23.319072;7.92;2.944327273
154;13/01/2021;10;10;0.6;147.3794093;86370;SA VINS FROMAGET;LEFFE BRUNE;1;6;46.4627;0.2287;18.673704;6;3.112284
155;13/01/2021;210;210;12.6;150.689825;54700;REGA;LEFFE BLONDE;1;6;48.8695;6.0403;17.5390992;6;2.9231832
158;13/01/2021;70;70;4.2;128.264406;54700;REGA;KWAK;1;6;48.8695;6.0403;18.0936;6;3.0156
159;13/01/2021;70;70;4.2;195.3340351;54700;REGA;TRIPLE KARMELIET;1;6;48.8695;6.0403;21.996;6;3.666
160;13/01/2021;30;30;1.8;208.8988426;54700;REGA;LEFFE AMBREE;1;6;48.8695;6.0403;22.4016912;6;3.7336152
919;16/02/2021;30;30;1.8;127.984305;68600;ABEDIS;BUD;1;6;48.028;7.5004;15.7747752;6;2.6291292
163;13/01/2021;70;70;4.2;217.4492633;54700;REGA;LEFFE RITUEL 9;1;6;48.8695;6.0403;22.774752;6;3.795792
164;13/01/2021;70;70;4.2;224.5997572;54700;REGA;LEFFE ROYALE;1;6;48.8695;6.0403;22.774752;6;3.795792
168;13/01/2021;40;40;2.4;195.5874479;54700;REGA;LEFFE RUBY;1;6;48.8695;6.0403;22.774752;6;3.795792
177;14/01/2021;40;40;2.4;224.5997572;60480;GROUPE ROUQUETTE;LEFFE ROYALE;1;6;49.4818;2.128;22.9749696;6;3.8291616
178;14/01/2021;420;420;25.2;150.689825;60480;GROUPE ROUQUETTE;LEFFE BLONDE;1;6;49.4818;2.128;17.8943688;6;2.9823948
179;14/01/2021;10;10;0.6;217.4492633;60480;GROUPE ROUQUETTE;LEFFE RITUEL 9;1;6;49.4818;2.128;22.9749696;6;3.8291616
872;15/02/2021;70;70;4.2;127.984305;70300;BURGEY ROBERT ET FILS;BUD;1;6;47.7954;6.4907;15.7747752;6;2.6291292
828;11/02/2021;12;12;0.9504;102.054025;54700;REGA;BUD;24;0.33;48.8695;6.0403;22.943808;7.92;2.896945455
185;14/01/2021;70;70;4.2;195.3340351;60480;GROUPE ROUQUETTE;TRIPLE KARMELIET;1;6;49.4818;2.128;21.952008;6;3.658668
187;14/01/2021;70;70;4.2;128.264406;60480;GROUPE ROUQUETTE;KWAK;1;6;49.4818;2.128;18.0574128;6;3.0095688
196;18/01/2021;20;20;1.2;224.5997572;39570;SA  JURA BOISSONS;LEFFE ROYALE;1;6;46.6501;5.4404;22.774752;6;3.795792
197;18/01/2021;30;30;1.8;217.4492633;39570;SA  JURA BOISSONS;LEFFE RITUEL 9;1;6;46.6501;5.4404;22.774752;6;3.795792
198;18/01/2021;20;20;1.2;147.3794093;39570;SA  JURA BOISSONS;LEFFE BRUNE;1;6;46.6501;5.4404;18.673704;6;3.112284
199;18/01/2021;140;140;8.4;128.264406;39570;SA  JURA BOISSONS;KWAK;1;6;46.6501;5.4404;18.0936;6;3.0156
200;18/01/2021;70;70;4.2;167.1285306;39570;SA  JURA BOISSONS;HOEGAARDEN ROSEE;1;6;46.6501;5.4404;19.09908;6;3.18318
201;18/01/2021;70;70;4.2;186.7078982;39570;SA  JURA BOISSONS;GOOSE;1;6;46.6501;5.4404;22.6512;6;3.7752
809;10/02/2021;20;20;1.2;127.984305;64200;DUPRAT;BUD;1;6;43.4801;-1.5556;15.7747752;6;2.6291292
205;18/01/2021;140;140;8.4;195.3340351;39570;SA  JURA BOISSONS;TRIPLE KARMELIET;1;6;46.6501;5.4404;21.996;6;3.666
207;18/01/2021;70;70;4.2;208.8988426;39570;SA  JURA BOISSONS;LEFFE AMBREE;1;6;46.6501;5.4404;22.4016912;6;3.7336152
208;18/01/2021;140;140;8.4;140.097307;39570;SA  JURA BOISSONS;HOEGAARDEN WHITE;1;6;46.6501;5.4404;16.2896832;6;2.7149472
209;18/01/2021;560;560;33.6;150.689825;39570;SA  JURA BOISSONS;LEFFE BLONDE;1;6;46.6501;5.4404;17.5390992;6;2.9231832
211;18/01/2021;140;140;8.4;195.5874479;39570;SA  JURA BOISSONS;LEFFE RUBY;1;6;46.6501;5.4404;22.774752;6;3.795792
212;18/01/2021;1260;1260;75.6;150.689825;62500;SODIBOISSONS;LEFFE BLONDE;1;6;50.7518;2.2405;17.5390992;6;2.9231832
215;18/01/2021;210;210;12.6;195.5874479;62500;SODIBOISSONS;LEFFE RUBY;1;6;50.7518;2.2405;22.774752;6;3.795792
217;18/01/2021;70;70;4.2;211.631664;62500;SODIBOISSONS;LEFFE ROYALE;1;6;50.7518;2.2405;22.774752;6;3.795792
218;18/01/2021;70;70;4.2;140.097307;62500;SODIBOISSONS;HOEGAARDEN WHITE;1;6;50.7518;2.2405;16.2896832;6;2.7149472
220;19/01/2021;30;30;1.8;186.7078982;70300;BURGEY ROBERT ET FILS;GOOSE;1;6;47.7954;6.4907;22.6512;6;3.7752
221;19/01/2021;70;70;4.2;208.8988426;70300;BURGEY ROBERT ET FILS;LEFFE AMBREE;1;6;47.7954;6.4907;22.4016912;6;3.7336152
223;19/01/2021;20;20;1.2;167.1285306;70300;BURGEY ROBERT ET FILS;HOEGAARDEN ROSEE;1;6;47.7954;6.4907;19.09908;6;3.18318
69467;09/02/2021;70;70;4.2;127.984305;53200;NEODIF;BUD;1;6;47.7993;-0.721;16.272216;6;2.712036
226;19/01/2021;70;70;4.2;128.264406;70300;BURGEY ROBERT ET FILS;KWAK;1;6;47.7954;6.4907;18.0936;6;3.0156
227;19/01/2021;70;70;4.2;140.097307;70300;BURGEY ROBERT ET FILS;HOEGAARDEN WHITE;1;6;47.7954;6.4907;16.2896832;6;2.7149472
228;19/01/2021;140;140;8.4;150.689825;70300;BURGEY ROBERT ET FILS;LEFFE BLONDE;1;6;47.7954;6.4907;17.5390992;6;2.9231832
229;19/01/2021;30;30;1.8;195.5874479;70300;BURGEY ROBERT ET FILS;LEFFE RUBY;1;6;47.7954;6.4907;22.774752;6;3.795792
230;19/01/2021;10;10;0.792;171.6145753;70300;BURGEY ROBERT ET FILS;LEFFE BLONDE;24;0.33;47.7954;6.4907;23.319072;7.92;2.944327273
231;19/01/2021;20;20;1.2;217.4492633;70300;BURGEY ROBERT ET FILS;LEFFE RITUEL 9;1;6;47.7954;6.4907;22.774752;6;3.795792
235;18/01/2021;1;70;4.2;150.689825;35530;France BOISSONS;LEFFE BLONDE;1;6;48.1211;-1.4597;18.137448;6;3.022908
236;19/01/2021;23;23;0.9798;135.3028149;70110;DAMIDEAUX MICHEL BOISSONS;GOOSE;12;0.355;47.5382;6.4026;18.7056;4.26;4.390985915
240;19/01/2021;70;70;4.2;186.7078982;70110;DAMIDEAUX MICHEL BOISSONS;GOOSE;1;6;47.5382;6.4026;22.6512;6;3.7752
241;19/01/2021;210;210;12.6;140.097307;70110;DAMIDEAUX MICHEL BOISSONS;HOEGAARDEN WHITE;1;6;47.5382;6.4026;16.2896832;6;2.7149472
242;19/01/2021;70;70;4.2;167.1285306;70110;DAMIDEAUX MICHEL BOISSONS;HOEGAARDEN ROSEE;1;6;47.5382;6.4026;19.09908;6;3.18318
244;19/01/2021;140;140;8.4;128.264406;70110;DAMIDEAUX MICHEL BOISSONS;KWAK;1;6;47.5382;6.4026;18.0936;6;3.0156
245;19/01/2021;70;70;4.2;137.8512671;70110;DAMIDEAUX MICHEL BOISSONS;LEFFE LA LEGERE;1;6;47.5382;6.4026;16.2462672;6;2.7077112
246;19/01/2021;70;70;4.2;208.8988426;70110;DAMIDEAUX MICHEL BOISSONS;LEFFE AMBREE;1;6;47.5382;6.4026;22.4016912;6;3.7336152
247;19/01/2021;70;70;4.2;147.3794093;70110;DAMIDEAUX MICHEL BOISSONS;LEFFE BRUNE;1;6;47.5382;6.4026;18.673704;6;3.112284
248;19/01/2021;70;70;4.2;217.4492633;70110;DAMIDEAUX MICHEL BOISSONS;LEFFE RITUEL 9;1;6;47.5382;6.4026;22.774752;6;3.795792
250;19/01/2021;140;140;8.4;195.3340351;70110;DAMIDEAUX MICHEL BOISSONS;TRIPLE KARMELIET;1;6;47.5382;6.4026;21.996;6;3.666
273;19/01/2021;70;70;4.2;186.7078982;68600;ABEDIS;GOOSE;1;6;48.028;7.5004;22.6512;6;3.7752
275;19/01/2021;20;20;1.2;211.631664;68600;ABEDIS;LEFFE ROYALE;1;6;48.028;7.5004;22.774752;6;3.795792
278;19/01/2021;140;140;8.4;150.689825;68600;ABEDIS;LEFFE BLONDE;1;6;48.028;7.5004;17.5390992;6;2.9231832
280;19/01/2021;20;20;1.2;128.264406;68600;ABEDIS;KWAK;1;6;48.028;7.5004;18.0936;6;3.0156
281;19/01/2021;10;10;0.6;224.5997572;68600;ABEDIS;LEFFE ROYALE;1;6;48.028;7.5004;22.774752;6;3.795792
282;19/01/2021;70;70;4.2;195.3340351;68600;ABEDIS;TRIPLE KARMELIET;1;6;48.028;7.5004;21.996;6;3.666
283;19/01/2021;10;10;0.792;186.9042007;68600;ABEDIS;TRIPLE KARMELIET;24;0.33;48.028;7.5004;28.4544;7.92;3.592727273
284;19/01/2021;70;70;4.2;140.097307;68600;ABEDIS;HOEGAARDEN WHITE;1;6;48.028;7.5004;16.2896832;6;2.7149472
285;19/01/2021;20;20;1.2;167.1285306;68600;ABEDIS;HOEGAARDEN ROSEE;1;6;48.028;7.5004;19.09908;6;3.18318
286;19/01/2021;10;10;0.6;195.5874479;68600;ABEDIS;LEFFE RUBY;1;6;48.028;7.5004;22.774752;6;3.795792
305;20/01/2021;5;300;23.76;171.6145753;13320;France BOISSONS;LEFFE BLONDE;24;0.33;43.4522;5.413;23.950656;7.92;3.024072727
726;08/02/2021;70;70;4.2;127.984305;79240;SCOB;BUD;1;6;46.6;-0.5582;15.7747752;6;2.6291292
312;20/01/2021;420;420;25.2;150.689825;62500;SODIBOISSONS;LEFFE BLONDE;1;6;50.7518;2.2405;17.5390992;6;2.9231832
313;20/01/2021;280;280;16.8;195.3340351;62500;SODIBOISSONS;TRIPLE KARMELIET;1;6;50.7518;2.2405;21.996;6;3.666
314;20/01/2021;70;70;4.2;224.5997572;62500;SODIBOISSONS;LEFFE ROYALE;1;6;50.7518;2.2405;22.774752;6;3.795792
315;20/01/2021;10;10;0.6;186.7078982;62500;SODIBOISSONS;GOOSE;1;6;50.7518;2.2405;22.6512;6;3.7752
320;22/01/2021;20;20;1.2;167.1285306;68116;ADAM;HOEGAARDEN ROSEE;1;6;47.7528;7.0925;19.266984;6;3.211164
321;22/01/2021;40;40;2.4;140.097307;68116;ADAM;HOEGAARDEN WHITE;1;6;47.7528;7.0925;16.6196448;6;2.7699408
734;08/02/2021;70;70;4.2;127.984305;83630;OLIVIER FRERES;BUD;1;6;43.733;6.1765;15.7747752;6;2.6291292
325;22/01/2021;10;10;0.6;128.264406;68116;ADAM;KWAK;1;6;47.7528;7.0925;18.0574128;6;3.0095688
327;22/01/2021;20;20;1.2;195.3340351;68116;ADAM;TRIPLE KARMELIET;1;6;47.7528;7.0925;21.952008;6;3.658668
329;22/01/2021;10;10;0.6;217.4492633;68116;ADAM;LEFFE RITUEL 9;1;6;47.7528;7.0925;22.9749696;6;3.8291616
330;22/01/2021;140;140;8.4;150.689825;68116;ADAM;LEFFE BLONDE;1;6;47.7528;7.0925;17.8943688;6;2.9823948
331;22/01/2021;30;30;1.8;195.5874479;68116;ADAM;LEFFE RUBY;1;6;47.7528;7.0925;22.9749696;6;3.8291616
333;25/01/2021;70;70;4.2;195.3340351;83630;OLIVIER FRERES;TRIPLE KARMELIET;1;6;43.733;6.1765;21.996;6;3.666
334;25/01/2021;70;70;4.2;128.264406;83630;OLIVIER FRERES;KWAK;1;6;43.733;6.1765;18.0936;6;3.0156
335;25/01/2021;210;210;12.6;150.689825;83630;OLIVIER FRERES;LEFFE BLONDE;1;6;43.733;6.1765;17.5390992;6;2.9231832
337;25/01/2021;70;70;4.2;224.5997572;83630;OLIVIER FRERES;LEFFE ROYALE;1;6;43.733;6.1765;22.774752;6;3.795792
338;25/01/2021;70;70;4.2;186.7078982;83630;OLIVIER FRERES;GOOSE;1;6;43.733;6.1765;22.6512;6;3.7752
345;25/01/2021;1680;1680;100.8;150.689825;62500;SODIBOISSONS;LEFFE BLONDE;1;6;50.7518;2.2405;17.5390992;6;2.9231832
346;25/01/2021;70;70;4.2;217.4492633;62500;SODIBOISSONS;LEFFE RITUEL 9;1;6;50.7518;2.2405;22.774752;6;3.795792
347;25/01/2021;70;70;4.2;211.631664;62500;SODIBOISSONS;LEFFE ROYALE;1;6;50.7518;2.2405;22.774752;6;3.795792
349;25/01/2021;70;70;4.2;186.7078982;49620;ETS PLUMEJEAU;GOOSE;1;6;47.3556;-0.8589;22.6512;6;3.7752
350;25/01/2021;140;140;8.4;195.3340351;49620;ETS PLUMEJEAU;TRIPLE KARMELIET;1;6;47.3556;-0.8589;21.996;6;3.666
352;25/01/2021;70;70;4.2;128.264406;49620;ETS PLUMEJEAU;KWAK;1;6;47.3556;-0.8589;18.0936;6;3.0156
353;25/01/2021;140;140;8.4;140.097307;71100;SOREDIS;HOEGAARDEN WHITE;1;6;46.7633;4.8393;16.2896832;6;2.7149472
355;25/01/2021;20;20;1.2;167.1285306;71100;SOREDIS;HOEGAARDEN ROSEE;1;6;46.7633;4.8393;19.09908;6;3.18318
356;25/01/2021;10;10;0.6;147.3794093;71100;SOREDIS;LEFFE BRUNE;1;6;46.7633;4.8393;18.673704;6;3.112284
357;25/01/2021;10;10;0.6;217.4492633;71100;SOREDIS;LEFFE RITUEL 9;1;6;46.7633;4.8393;22.774752;6;3.795792
358;25/01/2021;70;70;4.2;195.5874479;71100;SOREDIS;LEFFE RUBY;1;6;46.7633;4.8393;22.774752;6;3.795792
359;25/01/2021;70;70;4.2;195.3340351;71100;SOREDIS;TRIPLE KARMELIET;1;6;46.7633;4.8393;21.996;6;3.666
360;25/01/2021;280;280;16.8;150.689825;71100;SOREDIS;LEFFE BLONDE;1;6;46.7633;4.8393;17.5390992;6;2.9231832
362;25/01/2021;70;70;4.2;128.264406;71100;SOREDIS;KWAK;1;6;46.7633;4.8393;18.0936;6;3.0156
69444;08/02/2021;70;70;4.2;127.984305;51430;GEDIS NORD EST;BUD;1;6;49.2234;3.9889;15.892812;6;2.648802
366;26/01/2021;140;140;8.4;140.097307;38760;RAD;HOEGAARDEN WHITE;1;6;45.0717;5.6425;16.2896832;6;2.7149472
367;26/01/2021;350;350;21;150.689825;38760;RAD;LEFFE BLONDE;1;6;45.0717;5.6425;17.5390992;6;2.9231832
368;26/01/2021;70;70;4.2;217.4492633;38760;RAD;LEFFE RITUEL 9;1;6;45.0717;5.6425;22.774752;6;3.795792
369;26/01/2021;140;140;8.4;224.5997572;38760;RAD;LEFFE ROYALE;1;6;45.0717;5.6425;22.774752;6;3.795792
370;26/01/2021;70;70;4.2;211.631664;38760;RAD;LEFFE ROYALE;1;6;45.0717;5.6425;22.774752;6;3.795792
